Time [s]	Speed [mph]	Speed [km/h]
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0,3	0,482802
8	0	0
9	0,2	0,321868
10	0,3	0,482802
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0,1	0,160934
28	0,2	0,321868
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
35	0	0
36	0	0
37	0	0
38	0	0
39	0	0
40	0	0
41	0	0
42	0	0
43	0	0
44	0	0
45	0	0
46	0	0
47	0,4	0,643736
48	2,8	4,506152
49	5,6	9,012304
50	7	11,26538
51	7,6	12,230984
52	7,6	12,230984
53	6,2	9,977908
54	6,4	10,299776
55	7,6	12,230984
56	9,5	15,28873
57	8,9	14,323126
58	8,6	13,840324
59	9,6	15,449664
60	12,4	19,955816
61	15	24,1401
62	17,8	28,646252
63	21	33,79614
64	22,9	36,853886
65	21,7	34,922678
66	18,2	29,289988
67	14,5	23,33543
68	10,2	16,415268
69	5,6	9,012304
70	2,5	4,02335
71	2,1	3,379614
72	3,1	4,988954
73	5,7	9,173238
74	9	14,48406
75	10,8	17,380872
76	10,8	17,380872
77	9,5	15,28873
78	6,5	10,46071
79	3,9	6,276426
80	2,6	4,184284
81	1	1,60934
82	0,8	1,287472
83	0,1	0,160934
84	0	0
85	0	0
86	0	0
87	0	0
88	0,3	0,482802
89	0,2	0,321868
90	0	0
91	0	0
92	0	0
93	0	0
94	0	0
95	0	0
96	2,7	4,345218
97	8,3	13,357522
98	12,4	19,955816
99	15,7	25,266638
100	17,4	28,002516
101	17,3	27,841582
102	17,2	27,680648
103	15,1	24,301034
104	11,2	18,024608
105	8,6	13,840324
106	5,9	9,495106
107	5,4	8,690436
108	6,8	10,943512
109	6,9	11,104446
110	4,8	7,724832
111	5,7	9,173238
112	7,1	11,426314
113	6,8	10,943512
114	5,9	9,495106
115	6	9,65604
116	6	9,65604
117	5,9	9,495106
118	5,6	9,012304
119	5,5	8,85137
120	7,2	11,587248
121	9,9	15,932466
122	10,8	17,380872
123	11,4	18,346476
124	11,9	19,151146
125	12,1	19,473014
126	12,6	20,277684
127	12,3	19,794882
128	10,6	17,059004
129	9,9	15,932466
130	9,4	15,127796
131	8,9	14,323126
132	7,6	12,230984
133	6,1	9,816974
134	5	8,0467
135	3,7	5,954558
136	2,6	4,184284
137	1	1,60934
138	0,8	1,287472
139	0,1	0,160934
140	0,4	0,643736
141	0,2	0,321868
142	0	0
143	0	0
144	0	0
145	1,3	2,092142
146	6	9,65604
147	10,2	16,415268
148	12,1	19,473014
149	13,8	22,208892
150	15,1	24,301034
151	16,2	26,071308
152	15,9	25,588506
153	16	25,74944
154	16,8	27,036912
155	17,5	28,16345
156	18	28,96812
157	19,6	31,543064
158	21,7	34,922678
159	23,1	37,175754
160	23,7	38,141358
161	24,1	38,785094
162	24,5	39,42883
163	25	40,2335
164	25,2	40,555368
165	24,6	39,589764
166	24,3	39,106962
167	23,3	37,497622
168	22,7	36,532018
169	22,1	35,566414
170	21,6	34,761744
171	21,1	33,957074
172	20,3	32,669602
173	19,2	30,899328
174	17	27,35878
175	13,9	22,369826
176	14,1	22,691694
177	14,6	23,496364
178	14,6	23,496364
179	14,5	23,33543
180	14,4	23,174496
181	14,2	22,852628
182	14,2	22,852628
183	13,2	21,243288
184	11,5	18,50741
185	8,4	13,518456
186	5,5	8,85137
187	3,7	5,954558
188	2,9	4,667086
189	1,3	2,092142
190	0,8	1,287472
191	0,3	0,482802
192	0,1	0,160934
193	0,1	0,160934
194	0	0
195	1,3	2,092142
196	3,9	6,276426
197	9,9	15,932466
198	15,9	25,588506
199	19,3	31,060262
200	20,7	33,313338
201	21,4	34,439876
202	21,4	34,439876
203	20,5	32,99147
204	19	30,57746
205	16,7	26,875978
206	13,1	21,082354
207	11,2	18,024608
208	14,9	23,979166
209	19,8	31,864932
210	23,8	38,302292
211	25,7	41,360038
212	26,2	42,164708
213	26,4	42,486576
214	23,3	37,497622
215	19,6	31,543064
216	18,9	30,416526
217	19,3	31,060262
218	19,4	31,221196
219	18,5	29,77279
220	17,5	28,16345
221	16,4	26,393176
222	15,6	25,105704
223	15,6	25,105704
224	16	25,74944
225	16,8	27,036912
226	17,5	28,16345
227	18	28,96812
228	19,6	31,543064
229	21,7	34,922678
230	23,5	37,81949
231	24,6	39,589764
232	25	40,2335
233	24,3	39,106962
234	23,1	37,175754
235	20,7	33,313338
236	17,2	27,680648
237	13,5	21,72609
238	9,2	14,805928
239	3,3	5,310822
240	0	0
241	0	0
242	0	0
243	0	0
244	0	0
245	0	0
246	0	0
247	0	0
248	0	0
249	0	0
250	0	0
251	0	0
252	0	0
253	0	0
254	0,2	0,321868
255	2	3,21868
256	4,5	7,24203
257	6,4	10,299776
258	7,2	11,587248
259	7,6	12,230984
260	7,2	11,587248
261	6,6	10,621644
262	6,5	10,46071
263	5,1	8,207634
264	4,4	7,081096
265	5,5	8,85137
266	3	4,82802
267	3,4	5,471756
268	3	4,82802
269	2,9	4,667086
270	1,3	2,092142
271	0,8	1,287472
272	0,3	0,482802
273	0	0
274	0	0
275	0,3	0,482802
276	4,7	7,563898
277	9,7	15,610598
278	13,9	22,369826
279	16,7	26,875978
280	19,1	30,738394
281	20,5	32,99147
282	20,5	32,99147
283	19,7	31,703998
284	19,9	32,025866
285	20,4	32,830536
286	20,9	33,635206
287	21,4	34,439876
288	21,9	35,244546
289	22,4	36,049216
290	22,1	35,566414
291	21,4	34,439876
292	20,8	33,474272
293	20,3	32,669602
294	20,5	32,99147
295	19,3	31,060262
296	17,3	27,841582
297	17,1	27,519714
298	16,7	26,875978
299	14,3	23,013562
300	11,9	19,151146
301	10,7	17,219938
302	10,2	16,415268
303	9,4	15,127796
304	10,6	17,059004
305	12,8	20,599552
306	13,7	22,047958
307	12,3	19,794882
308	10,4	16,737136
309	8,6	13,840324
310	5,5	8,85137
311	3,2	5,149888
312	2	3,21868
313	0,6	0,965604
314	0	0
315	0	0
316	0	0
317	0	0
318	0	0
319	0	0
320	0	0
321	0	0
322	0	0
323	2,5	4,02335
324	6,1	9,816974
325	5,5	8,85137
326	3,2	5,149888
327	3,6	5,793624
328	6,1	9,816974
329	9,1	14,644994
330	9,8	15,771532
331	8,6	13,840324
332	6,8	10,943512
333	5,9	9,495106
334	5,6	9,012304
335	6	9,65604
336	7,2	11,587248
337	8,4	13,518456
338	9,3	14,966862
339	7,6	12,230984
340	5,5	8,85137
341	2,5	4,02335
342	0,1	0,160934
343	0	0
344	0	0
345	0	0
346	0	0
347	0	0
348	0	0
349	0	0
350	0	0
351	0	0
352	0	0
353	0	0
354	0	0
355	0,1	0,160934
356	0,3	0,482802
