Time [s]	Speed [mph]	Speed [km/h]
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0,2	0,321868
7	0,7	1,126538
8	1,1	1,770274
9	1,7	2,735878
10	6	9,65604
11	13,9	22,369826
12	20,5	32,99147
13	25,7	41,360038
14	25	40,2335
15	28,4	45,705256
16	32,3	51,981682
17	34,6	55,683164
18	36,5	58,74091
19	38,4	61,798656
20	39,9	64,212666
21	42,2	67,914148
22	43,8	70,489092
23	44,2	71,132828
24	43,4	69,845356
25	42,6	68,557884
26	40,3	64,856402
27	39,2	63,086128
28	38,4	61,798656
29	38,4	61,798656
30	39,2	63,086128
31	38,8	62,442392
32	38,8	62,442392
33	36,5	58,74091
34	32,3	51,981682
35	27,6	44,417784
36	22,3	35,888282
37	17,3	27,841582
38	11,5	18,50741
39	5,8	9,334172
40	1,2	1,931208
41	0	0
42	0	0
43	0	0
44	0	0
45	0	0
46	0	0
47	0	0
48	0	0
49	0,8	1,287472
50	9,2	14,805928
51	14,9	23,979166
52	18,2	29,289988
53	22,2	35,727348
54	27,2	43,774048
55	31,4	50,533276
56	33,8	54,395692
57	37,2	59,867448
58	40,8	65,661072
59	44	70,81096
60	46,3	74,512442
61	47,6	76,604584
62	49,5	79,66233
63	51,2	82,398208
64	53	85,29502
65	54,4	87,548096
66	55,6	89,479304
67	56,4	90,766776
68	56,1	90,283974
69	56,2	90,444908
70	55,8	89,801172
71	55,1	88,674634
72	54,4	87,548096
73	54,2	87,226228
74	54,4	87,548096
75	54,2	87,226228
76	53,5	86,09969
77	52,3	84,168482
78	52	83,68568
79	51,9	83,524746
80	51,8	83,363812
81	51,9	83,524746
82	52	83,68568
83	52,5	84,49035
84	53,4	85,938756
85	54,9	88,352766
86	56,8	91,410512
87	58,8	94,629192
88	60,6	97,526004
89	62,3	100,261882
90	64,2	103,319628
91	66,2	106,538308
92	67,8	109,113252
93	69,4	111,688196
94	70,4	113,297536
95	70,6	113,619404
96	70,7	113,780338
97	70,3	113,136602
98	68,2	109,756988
99	66,5	107,02111
100	64,9	104,446166
101	63,7	102,514958
102	62,5	100,58375
103	61	98,16974
104	59,3	95,433862
105	57,7	92,858918
106	56	90,12304
107	54,5	87,70903
108	52,8	84,973152
109	51,2	82,398208
110	49,5	79,66233
111	48	77,24832
112	46,3	74,512442
113	44	70,81096
114	41,1	66,143874
115	38,8	62,442392
116	37,7	60,672118
117	36,6	58,901844
118	35,3	56,809702
119	30	48,2802
120	24,4	39,267896
121	19,8	31,864932
122	15,5	24,94477
123	10,8	17,380872
124	6,3	10,138842
125	3,2	5,149888
126	2,1	3,379614
127	1,2	1,931208
128	0	0
129	0	0
130	0	0
131	0	0
132	0	0
133	0	0
134	0	0
135	0	0
136	2,7	4,345218
137	9,2	14,805928
138	16,1	25,910374
139	22,7	36,532018
140	29,2	46,992728
141	34,2	55,039428
142	38,8	62,442392
143	43	69,20162
144	45,3	72,903102
145	46,8	75,317112
146	48	77,24832
147	49,5	79,66233
148	50,3	80,949802
149	51,5	82,88101
150	52,2	84,007548
151	52,6	84,651284
152	53	85,29502
153	53,8	86,582492
154	53,8	86,582492
155	53,8	86,582492
156	54,6	87,869964
157	56,3	90,605842
158	56,9	91,571446
159	58,1	93,502654
160	58,4	93,985456
161	59,6	95,916664
162	59,9	96,399466
163	60,2	96,882268
164	60,5	97,36507
165	59,7	96,077598
166	58,3	93,824522
167	58,1	93,502654
168	57,8	93,019852
169	57,3	92,215182
170	57,5	92,53705
171	56,6	91,088644
172	57	91,73238
173	56,6	91,088644
174	56,5	90,92771
175	56,2	90,444908
176	56,4	90,766776
177	56,6	91,088644
178	56,4	90,766776
179	56,1	90,283974
180	56	90,12304
181	55,9	89,962106
182	54,8	88,191832
183	54,2	87,226228
184	54,6	87,869964
185	52,2	84,007548
186	54,7	88,030898
187	55,7	89,640238
188	57	91,73238
189	58	93,34172
190	58,1	93,502654
191	59,4	95,594796
192	59,9	96,399466
193	61	98,16974
194	61,4	98,813476
195	61,9	99,618146
196	62,5	100,58375
197	62,5	100,58375
198	62,7	100,905618
199	62,2	100,100948
200	62,5	100,58375
201	63,1	101,549354
202	62,7	100,905618
203	62,8	101,066552
204	63	101,38842
205	64,1	103,158694
206	63,9	102,836826
207	64,1	103,158694
208	64,3	103,480562
209	64,5	103,80243
210	64,9	104,446166
211	65,3	105,089902
212	66	106,21644
213	66	106,21644
214	66,4	106,860176
215	64,1	103,158694
216	63,6	102,354024
217	63,9	102,836826
218	64,1	103,158694
219	63,7	102,514958
220	64,3	103,480562
221	64,2	103,319628
222	63,9	102,836826
223	64,2	103,319628
224	63,4	102,032156
225	64	102,99776
226	63,9	102,836826
227	64	102,99776
228	63,8	102,675892
229	64	102,99776
230	63,3	101,871222
231	63,4	102,032156
232	63,9	102,836826
233	64	102,99776
234	64,3	103,480562
235	64,8	104,285232
236	65,1	104,768034
237	64	102,99776
238	64,2	103,319628
239	63,1	101,549354
240	63,7	102,514958
241	63,1	101,549354
242	63,7	102,514958
243	63,5	102,19309
244	63	101,38842
245	63,1	101,549354
246	63	101,38842
247	63,3	101,871222
248	63,4	102,032156
249	63,3	101,871222
250	62,5	100,58375
251	62,5	100,58375
252	62,9	101,227486
253	62,8	101,066552
254	62,2	100,100948
255	62,4	100,422816
256	62,3	100,261882
257	62,3	100,261882
258	62,4	100,422816
259	62,1	99,940014
260	62,5	100,58375
261	62,8	101,066552
262	62,3	100,261882
263	62,3	100,261882
264	62,4	100,422816
265	61,9	99,618146
266	62,8	101,066552
267	62,8	101,066552
268	62,3	100,261882
269	62,8	101,066552
270	62,4	100,422816
271	62,1	99,940014
272	61,9	99,618146
273	61,8	99,457212
274	62,1	99,940014
275	62,1	99,940014
276	62,1	99,940014
277	62	99,77908
278	62,4	100,422816
279	62,2	100,100948
280	62,2	100,100948
281	62,4	100,422816
282	62,7	100,905618
283	62,6	100,744684
284	63,7	102,514958
285	64,3	103,480562
286	64,8	104,285232
287	65,1	104,768034
288	65,9	106,055506
289	66,1	106,377374
290	67	107,82578
291	67,2	108,147648
292	67,5	108,63045
293	68,3	109,917922
294	68,3	109,917922
295	68,8	110,722592
296	69,1	111,205394
297	69,4	111,688196
298	71,7	115,389678
299	72,1	116,033414
300	74,9	120,539566
301	72,6	116,838084
302	72,2	116,194348
303	72,2	116,194348
304	72	115,87248
305	72,5	116,67715
306	72,8	117,159952
307	72,7	116,999018
308	71,8	115,550612
309	71,4	114,906876
310	71,1	114,424074
311	71,1	114,424074
312	70,9	114,102206
313	71	114,26314
314	71	114,26314
315	71,2	114,585008
316	72,1	116,033414
317	72,6	116,838084
318	73,6	118,447424
319	74,8	120,378632
320	75,7	121,827038
321	77,3	124,401982
322	78,4	126,172256
323	79,3	127,620662
324	78,2	125,850388
325	76	122,30984
326	75,6	121,666104
