Time [s]	Speed [km/h]
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	3
22	6
23	9
24	12
25	15
26	15
27	15
28	17,2
29	19,4
30	21,7
31	23,9
32	26,1
33	28,3
34	30,6
35	32,8
36	35
37	35
38	35
39	36,9
40	38,8
41	40,6
42	42,5
43	44,4
44	46,3
45	48,1
46	50
47	50
48	50
49	51,5
50	53,1
51	54,6
52	56,2
53	57,7
54	59,2
55	60,8
56	62,3
57	63,8
58	65,4
59	66,9
60	68,5
61	70
62	70
63	70
64	70
65	70
66	70
67	70
68	70
69	70
70	70
71	70
72	70
73	70
74	70
75	70
76	70
77	70
78	70
79	70
80	70
81	70
82	70
83	70
84	70
85	70
86	70
87	70
88	70
89	70
90	70
91	70
92	70
93	70
94	70
95	70
96	70
97	70
98	70
99	70
100	70
101	70
102	70
103	70
104	70
105	70
106	70
107	70
108	70
109	70
110	70
111	70
112	67,5
113	65
114	62,5
115	60
116	57,5
117	55
118	52,5
119	50
120	50
121	50
122	50
123	50
124	50
125	50
126	50
127	50
128	50
129	50
130	50
131	50
132	50
133	50
134	50
135	50
136	50
137	50
138	50
139	50
140	50
141	50
142	50
143	50
144	50
145	50
146	50
147	50
148	50
149	50
150	50
151	50
152	50
153	50
154	50
155	50
156	50
157	50
158	50
159	50
160	50
161	50
162	50
163	50
164	50
165	50
166	50
167	50
168	50
169	50
170	50
171	50
172	50
173	50
174	50
175	50
176	50
177	50
178	50
179	50
180	50
181	50
182	50
183	50
184	50
185	50
186	50
187	50
188	50
189	51,5
190	53,1
191	54,6
192	56,2
193	57,7
194	59,2
195	60,8
196	62,3
197	63,8
198	65,4
199	66,9
200	68,5
201	70
202	70
203	70
204	70
205	70
206	70
207	70
208	70
209	70
210	70
211	70
212	70
213	70
214	70
215	70
216	70
217	70
218	70
219	70
220	70
221	70
222	70
223	70
224	70
225	70
226	70
227	70
228	70
229	70
230	70
231	70
232	70
233	70
234	70
235	70
236	70
237	70
238	70
239	70
240	70
241	70
242	70
243	70
244	70
245	70
246	70
247	70
248	70
249	70
250	70
251	70
252	70,9
253	71,7
254	72,6
255	73,4
256	74,3
257	75,1
258	76
259	76,9
260	77,7
261	78,6
262	79,4
263	80,3
264	81,1
265	82
266	82,9
267	83,7
268	84,6
269	85,4
270	86,3
271	87,1
272	88
273	88,9
274	89,7
275	90,6
276	91,4
277	92,3
278	93,1
279	94
280	94,9
281	95,7
282	96,6
283	97,4
284	98,3
285	99,1
286	100
287	100
288	100
289	100
290	100
291	100
292	100
293	100
294	100
295	100
296	100
297	100
298	100
299	100
300	100
301	100
302	100
303	100
304	100
305	100
306	100
307	100
308	100
309	100
310	100
311	100
312	100
313	100
314	100
315	100
316	100
317	101
318	102
319	103
320	104
321	105
322	106
323	107
324	108
325	109
326	110
327	111
328	112
329	113
330	114
331	115
332	116
333	117
334	118
335	119
336	120
337	120
338	120
339	120
340	120
341	120
342	120
343	120
344	120
345	120
346	120
347	117,5
348	115
349	112,5
350	110
351	107,5
352	105
353	102,5
354	100
355	97,5
356	95
357	92,5
358	90
359	87,5
360	85
361	82,5
362	80
363	76,3
364	72,5
365	68,8
366	65
367	61,3
368	57,5
369	53,8
370	50
371	45
372	40
373	35
374	30
375	25
376	20
377	15
378	10
379	5
380	0
381	0
382	0
383	0
384	0
385	0
386	0
387	0
388	0
389	0
390	0
391	0
392	0
393	0
394	0
395	0
396	0
397	0
398	0
399	0
400	0
