Phase	Time [s]	Speed [km/h]
Low	0	0
Low	1	0
Low	2	0
Low	3	0
Low	4	0
Low	5	0
Low	6	0
Low	7	0
Low	8	0
Low	9	0
Low	10	0
Low	11	0
Low	12	0
Low	13	1,2
Low	14	2,6
Low	15	4,9
Low	16	7,3
Low	17	9,4
Low	18	11,4
Low	19	12,7
Low	20	13,3
Low	21	13,4
Low	22	13,3
Low	23	13,1
Low	24	12,5
Low	25	11,1
Low	26	8,9
Low	27	6,2
Low	28	3,8
Low	29	1,8
Low	30	0
Low	31	0
Low	32	0
Low	33	0
Low	34	1,5
Low	35	2,8
Low	36	3,6
Low	37	4,5
Low	38	5,3
Low	39	6
Low	40	6,6
Low	41	7,3
Low	42	7,9
Low	43	8,6
Low	44	9,3
Low	45	10
Low	46	10,8
Low	47	11,6
Low	48	12,4
Low	49	13,2
Low	50	14,2
Low	51	14,8
Low	52	14,7
Low	53	14,4
Low	54	14,1
Low	55	13,6
Low	56	13
Low	57	12,4
Low	58	11,8
Low	59	11,2
Low	60	10,6
Low	61	9,9
Low	62	9
Low	63	8,2
Low	64	7
Low	65	4,8
Low	66	2,3
Low	67	0
Low	68	0
Low	69	0
Low	70	0
Low	71	0
Low	72	0
Low	73	0
Low	74	0
Low	75	0
Low	76	0
Low	77	0
Low	78	0
Low	79	0
Low	80	0
Low	81	0
Low	82	0
Low	83	0
Low	84	0
Low	85	0
Low	86	0
Low	87	0
Low	88	0
Low	89	0
Low	90	0
Low	91	0
Low	92	0
Low	93	0
Low	94	0
Low	95	0
Low	96	0
Low	97	0
Low	98	0
Low	99	0
Low	100	0
Low	101	0
Low	102	0
Low	103	0
Low	104	0
Low	105	0
Low	106	0
Low	107	0,8
Low	108	1,4
Low	109	2,3
Low	110	3,5
Low	111	4,7
Low	112	5,9
Low	113	7,4
Low	114	9,2
Low	115	11,7
Low	116	13,5
Low	117	15
Low	118	16,2
Low	119	16,8
Low	120	17,5
Low	121	18,8
Low	122	20,3
Low	123	22
Low	124	23,6
Low	125	24,8
Low	126	25,6
Low	127	26,3
Low	128	27,2
Low	129	28,3
Low	130	29,6
Low	131	30,9
Low	132	32,2
Low	133	33,4
Low	134	35,1
Low	135	37,2
Low	136	38,7
Low	137	39
Low	138	40,1
Low	139	40,4
Low	140	39,7
Low	141	36,8
Low	142	35,1
Low	143	32,2
Low	144	31,1
Low	145	30,8
Low	146	29,7
Low	147	29,4
Low	148	29
Low	149	28,5
Low	150	26
Low	151	23,4
Low	152	20,7
Low	153	17,4
Low	154	15,2
Low	155	13,5
Low	156	13
Low	157	12,4
Low	158	12,3
Low	159	12,2
Low	160	12,3
Low	161	12,4
Low	162	12,5
Low	163	12,7
Low	164	12,8
Low	165	13,2
Low	166	14,3
Low	167	16,5
Low	168	19,4
Low	169	21,7
Low	170	23,1
Low	171	23,5
Low	172	24,2
Low	173	24,8
Low	174	25,4
Low	175	25,8
Low	176	26,5
Low	177	27,2
Low	178	28,3
Low	179	29,9
Low	180	32,4
Low	181	35,1
Low	182	37,5
Low	183	39,2
Low	184	40,5
Low	185	41,4
Low	186	42
Low	187	42,5
Low	188	43,2
Low	189	44,4
Low	190	45,9
Low	191	47,6
Low	192	49
Low	193	50
Low	194	50,2
Low	195	50,1
Low	196	49,8
Low	197	49,4
Low	198	48,9
Low	199	48,5
Low	200	48,3
Low	201	48,2
Low	202	47,9
Low	203	47,1
Low	204	45,5
Low	205	43,2
Low	206	40,6
Low	207	38,5
Low	208	36,9
Low	209	35,9
Low	210	35,3
Low	211	34,8
Low	212	34,5
Low	213	34,2
Low	214	34
Low	215	33,8
Low	216	33,6
Low	217	33,5
Low	218	33,5
Low	219	33,4
Low	220	33,3
Low	221	33,3
Low	222	33,2
Low	223	33,1
Low	224	33
Low	225	32,9
Low	226	32,8
Low	227	32,7
Low	228	32,5
Low	229	32,3
Low	230	31,8
Low	231	31,4
Low	232	30,9
Low	233	30,6
Low	234	30,6
Low	235	30,7
Low	236	32
Low	237	33,5
Low	238	35,8
Low	239	37,6
Low	240	38,8
Low	241	39,6
Low	242	40,1
Low	243	40,9
Low	244	41,8
Low	245	43,3
Low	246	44,7
Low	247	46,4
Low	248	47,9
Low	249	49,6
Low	250	49,6
Low	251	48,8
Low	252	48
Low	253	47,5
Low	254	47,1
Low	255	46,9
Low	256	45,8
Low	257	45,8
Low	258	45,8
Low	259	45,9
Low	260	46,2
Low	261	46,4
Low	262	46,6
Low	263	46,8
Low	264	47
Low	265	47,3
Low	266	47,5
Low	267	47,9
Low	268	48,3
Low	269	48,3
Low	270	48,2
Low	271	48
Low	272	47,7
Low	273	47,2
Low	274	46,5
Low	275	45,2
Low	276	43,7
Low	277	42
Low	278	40,4
Low	279	39
Low	280	37,7
Low	281	36,4
Low	282	35,2
Low	283	34,3
Low	284	33,8
Low	285	33,3
Low	286	32,5
Low	287	30,9
Low	288	28,6
Low	289	25,9
Low	290	23,1
Low	291	20,1
Low	292	17,3
Low	293	15,1
Low	294	13,7
Low	295	13,4
Low	296	13,9
Low	297	15
Low	298	16,3
Low	299	17,4
Low	300	18,2
Low	301	18,6
Low	302	19
Low	303	19,4
Low	304	19,8
Low	305	20,1
Low	306	20,5
Low	307	20,2
Low	308	18,6
Low	309	16,5
Low	310	14,4
Low	311	13,4
Low	312	12,9
Low	313	12,7
Low	314	12,4
Low	315	12,4
Low	316	12,8
Low	317	14,1
Low	318	16,2
Low	319	18,8
Low	320	21,9
Low	321	25
Low	322	28,4
Low	323	31,3
Low	324	34
Low	325	34,6
Low	326	33,9
Low	327	31,9
Low	328	30
Low	329	29
Low	330	27,9
Low	331	27,1
Low	332	26,4
Low	333	25,9
Low	334	25,5
Low	335	25
Low	336	24,6
Low	337	23,9
Low	338	23
Low	339	21,8
Low	340	20,7
Low	341	19,6
Low	342	18,7
Low	343	18,1
Low	344	17,5
Low	345	16,7
Low	346	15,4
Low	347	13,6
Low	348	11,2
Low	349	8,6
Low	350	6
Low	351	3,1
Low	352	1,2
Low	353	0
Low	354	0
Low	355	0
Low	356	0
Low	357	0
Low	358	0
Low	359	0
Low	360	1,4
Low	361	3,2
Low	362	5,6
Low	363	8,1
Low	364	10,3
Low	365	12,1
Low	366	12,6
Low	367	13,6
Low	368	14,5
Low	369	15,6
Low	370	16,8
Low	371	18,2
Low	372	19,6
Low	373	20,9
Low	374	22,3
Low	375	23,8
Low	376	25,4
Low	377	27
Low	378	28,6
Low	379	30,2
Low	380	31,2
Low	381	31,2
Low	382	30,7
Low	383	29,5
Low	384	28,6
Low	385	27,7
Low	386	26,9
Low	387	26,1
Low	388	25,4
Low	389	24,6
Low	390	23,6
Low	391	22,6
Low	392	21,7
Low	393	20,7
Low	394	19,8
Low	395	18,8
Low	396	17,7
Low	397	16,6
Low	398	15,6
Low	399	14,8
Low	400	14,3
Low	401	13,8
Low	402	13,4
Low	403	13,1
Low	404	12,8
Low	405	12,3
Low	406	11,6
Low	407	10,5
Low	408	9
Low	409	7,2
Low	410	5,2
Low	411	2,9
Low	412	1,2
Low	413	0
Low	414	0
Low	415	0
Low	416	0
Low	417	0
Low	418	0
Low	419	0
Low	420	0
Low	421	0
Low	422	0
Low	423	0
Low	424	0
Low	425	0
Low	426	0
Low	427	0
Low	428	0
Low	429	0
Low	430	0
Low	431	0
Low	432	0
Low	433	0
Low	434	0
Low	435	0
Low	436	0
Low	437	0
Low	438	0
Low	439	0
Low	440	0
Low	441	0
Low	442	0
Low	443	0
Low	444	0
Low	445	0
Low	446	0
Low	447	0
Low	448	0
Low	449	0
Low	450	0
Low	451	0
Low	452	0
Low	453	0
Low	454	0
Low	455	0
Low	456	0
Low	457	0
Low	458	0
Low	459	0
Low	460	0
Low	461	0
Low	462	0
Low	463	0
Low	464	0
Low	465	0
Low	466	0
Low	467	0
Low	468	0
Low	469	0
Low	470	0
Low	471	0
Low	472	0
Low	473	0
Low	474	0
Low	475	0
Low	476	0
Low	477	0
Low	478	0
Low	479	0
Low	480	0
Low	481	1,4
Low	482	2,5
Low	483	5,2
Low	484	7,9
Low	485	10,3
Low	486	12,7
Low	487	15
Low	488	17,4
Low	489	19,7
Low	490	21,9
Low	491	24,1
Low	492	26,2
Low	493	28,1
Low	494	29,7
Low	495	31,3
Low	496	33
Low	497	34,7
Low	498	36,3
Low	499	38,1
Low	500	39,4
Low	501	40,4
Low	502	41,2
Low	503	42,1
Low	504	43,2
Low	505	44,3
Low	506	45,7
Low	507	45,4
Low	508	44,5
Low	509	42,5
Low	510	39,5
Low	511	36,5
Low	512	33,5
Low	513	30,4
Low	514	27
Low	515	23,6
Low	516	21
Low	517	19,5
Low	518	17,6
Low	519	16,1
Low	520	14,5
Low	521	13,5
Low	522	13,7
Low	523	16
Low	524	18,1
Low	525	20,8
Low	526	21,5
Low	527	22,5
Low	528	23,4
Low	529	24,5
Low	530	25,6
Low	531	26
Low	532	26,5
Low	533	26,9
Low	534	27,3
Low	535	27,9
Low	536	30,3
Low	537	33,2
Low	538	35,4
Low	539	38
Low	540	40,1
Low	541	42,7
Low	542	44,5
Low	543	46,3
Low	544	47,6
Low	545	48,8
Low	546	49,7
Low	547	50,6
Low	548	51,4
Low	549	51,4
Low	550	50,2
Low	551	47,1
Low	552	44,5
Low	553	41,5
Low	554	38,5
Low	555	35,5
Low	556	32,5
Low	557	29,5
Low	558	26,5
Low	559	23,5
Low	560	20,4
Low	561	17,5
Low	562	14,5
Low	563	11,5
Low	564	8,5
Low	565	5,6
Low	566	2,6
Low	567	0
Low	568	0
Low	569	0
Low	570	0
Low	571	0
Low	572	0
Low	573	0
Low	574	0
Low	575	0
Low	576	0
Low	577	0
Low	578	0
Low	579	0
Low	580	0
Low	581	0
Low	582	0
Low	583	0
Low	584	0
Low	585	0
Low	586	0
Low	587	0
Low	588	0
Low	589	0
Medium	590	0
Medium	591	0
Medium	592	0
Medium	593	0
Medium	594	0
Medium	595	0
Medium	596	0
Medium	597	0
Medium	598	0
Medium	599	0
Medium	600	0
Medium	601	1,6
Medium	602	3,6
Medium	603	6,3
Medium	604	9
Medium	605	11,8
Medium	606	14,2
Medium	607	16,6
Medium	608	18,5
Medium	609	20,8
Medium	610	23,4
Medium	611	26,9
Medium	612	30,3
Medium	613	32,8
Medium	614	34,1
Medium	615	34,2
Medium	616	33,6
Medium	617	32,1
Medium	618	30
Medium	619	27,5
Medium	620	25,1
Medium	621	22,8
Medium	622	20,5
Medium	623	17,9
Medium	624	15,1
Medium	625	13,4
Medium	626	12,8
Medium	627	13,7
Medium	628	16
Medium	629	18,1
Medium	630	20,8
Medium	631	23,7
Medium	632	26,5
Medium	633	29,3
Medium	634	32
Medium	635	34,5
Medium	636	36,8
Medium	637	38,6
Medium	638	39,8
Medium	639	40,6
Medium	640	41,1
Medium	641	41,9
Medium	642	42,8
Medium	643	44,3
Medium	644	45,7
Medium	645	47,4
Medium	646	48,9
Medium	647	50,6
Medium	648	52
Medium	649	53,7
Medium	650	55
Medium	651	56,8
Medium	652	58
Medium	653	59,8
Medium	654	61,1
Medium	655	62,4
Medium	656	63
Medium	657	63,5
Medium	658	63
Medium	659	62
Medium	660	60,4
Medium	661	58,6
Medium	662	56,7
Medium	663	55
Medium	664	53,7
Medium	665	52,7
Medium	666	51,9
Medium	667	51,4
Medium	668	51
Medium	669	50,7
Medium	670	50,6
Medium	671	50,8
Medium	672	51,2
Medium	673	51,7
Medium	674	52,3
Medium	675	53,1
Medium	676	53,8
Medium	677	54,5
Medium	678	55,1
Medium	679	55,9
Medium	680	56,5
Medium	681	57,1
Medium	682	57,8
Medium	683	58,5
Medium	684	59,3
Medium	685	60,2
Medium	686	61,3
Medium	687	62,4
Medium	688	63,4
Medium	689	64,4
Medium	690	65,4
Medium	691	66,3
Medium	692	67,2
Medium	693	68
Medium	694	68,8
Medium	695	69,5
Medium	696	70,1
Medium	697	70,6
Medium	698	71
Medium	699	71,6
Medium	700	72,2
Medium	701	72,8
Medium	702	73,5
Medium	703	74,1
Medium	704	74,3
Medium	705	74,3
Medium	706	73,7
Medium	707	71,9
Medium	708	70,5
Medium	709	68,9
Medium	710	67,4
Medium	711	66
Medium	712	64,7
Medium	713	63,7
Medium	714	62,9
Medium	715	62,2
Medium	716	61,7
Medium	717	61,2
Medium	718	60,7
Medium	719	60,3
Medium	720	59,9
Medium	721	59,6
Medium	722	59,3
Medium	723	59
Medium	724	58,6
Medium	725	58
Medium	726	57,5
Medium	727	56,9
Medium	728	56,3
Medium	729	55,9
Medium	730	55,6
Medium	731	55,3
Medium	732	55,1
Medium	733	54,8
Medium	734	54,6
Medium	735	54,5
Medium	736	54,3
Medium	737	53,9
Medium	738	53,4
Medium	739	52,6
Medium	740	51,5
Medium	741	50,2
Medium	742	48,7
Medium	743	47
Medium	744	45,1
Medium	745	43
Medium	746	40,6
Medium	747	38,1
Medium	748	35,4
Medium	749	32,7
Medium	750	30
Medium	751	27,5
Medium	752	25,3
Medium	753	23,4
Medium	754	22
Medium	755	20,8
Medium	756	19,8
Medium	757	18,9
Medium	758	18
Medium	759	17
Medium	760	16,1
Medium	761	15,5
Medium	762	14,4
Medium	763	14,9
Medium	764	15,9
Medium	765	17,1
Medium	766	18,3
Medium	767	19,4
Medium	768	20,4
Medium	769	21,2
Medium	770	21,9
Medium	771	22,7
Medium	772	23,4
Medium	773	24,2
Medium	774	24,3
Medium	775	24,2
Medium	776	24,1
Medium	777	23,8
Medium	778	23
Medium	779	22,6
Medium	780	21,7
Medium	781	21,3
Medium	782	20,3
Medium	783	19,1
Medium	784	18,1
Medium	785	16,9
Medium	786	16
Medium	787	14,8
Medium	788	14,5
Medium	789	13,7
Medium	790	13,5
Medium	791	12,9
Medium	792	12,7
Medium	793	12,5
Medium	794	12,5
Medium	795	12,6
Medium	796	13
Medium	797	13,6
Medium	798	14,6
Medium	799	15,7
Medium	800	17,1
Medium	801	18,7
Medium	802	20,2
Medium	803	21,9
Medium	804	23,6
Medium	805	25,4
Medium	806	27,1
Medium	807	28,9
Medium	808	30,4
Medium	809	32
Medium	810	33,4
Medium	811	35
Medium	812	36,4
Medium	813	38,1
