Time [s]	Speed [km/h]
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	4,9
28	9,8
29	13,8
30	16,6
31	18,4
32	20,1
33	21,7
34	22,7
35	23,5
36	24,7
37	26,1
38	27,6
39	29,9
40	32,8
41	37,1
42	37,8
43	36,6
44	36,5
45	37,7
46	38,9
47	39,2
48	37,3
49	34,1
50	32,8
51	32,4
52	31,7
53	30,4
54	29,1
55	28,6
56	28,6
57	28,6
58	28,7
59	29,1
60	29,8
61	30,9
62	32,5
63	35,1
64	37,5
65	38,9
66	39
67	37,7
68	35,1
69	32,9
70	32,1
71	31
72	27,4
73	23,7
74	20,2
75	17,5
76	15,9
77	14,5
78	12,7
79	10,9
80	9,5
81	8,1
82	6,9
83	5,8
84	4,5
85	2,5
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	2,6
95	6,7
96	10,6
97	14,6
98	19,7
99	24,4
100	27,5
101	30,2
102	33,4
103	35,6
104	35,9
105	35,4
106	35,3
107	35,8
108	37,1
109	38,8
110	40,3
111	41,8
112	43,7
113	45,1
114	46,1
115	47,9
116	50,1
117	51,2
118	52,1
119	54,1
120	56,1
121	56,9
122	57,7
123	59,5
124	61,3
125	61,8
126	61,6
127	61,2
128	60,5
129	59,7
130	59,3
131	59,4
132	59,4
133	58,5
134	57
135	55,6
136	54,2
137	52,9
138	51,8
139	51,3
140	51,5
141	52,6
142	54,3
143	56
144	57,9
145	59,9
146	61,2
147	61,8
148	62,2
149	62,6
150	62,1
151	61,4
152	61,3
153	61,7
154	61,3
155	60,3
156	59,5
157	59,2
158	59,3
159	59,1
160	58,3
161	57,6
162	57,4
163	57,1
164	56,1
165	54,4
166	52,2
167	49,7
168	47,5
169	45,9
170	44,1
171	41,8
172	39,6
173	37,8
174	34,7
175	31,9
176	29,8
177	28,2
178	26,7
179	25
180	23,2
181	21,1
182	18,2
183	14,9
184	12,4
185	11,6
186	12,4
187	13,7
188	16,2
189	16,9
190	15
191	12,6
192	11,9
193	11,6
194	11,8
195	12,3
196	13,4
197	14,6
198	16
199	18,8
200	20,5
201	19,8
202	18,9
203	19,8
204	22,2
205	25,1
206	27,1
207	27,2
208	26,1
209	25,1
210	23,4
211	20,8
212	19,2
213	19
214	17,9
215	16,1
216	15,4
217	15,1
218	13,6
219	12,1
220	12,1
221	11,1
222	7,5
223	3,5
224	1,6
225	0
226	0
227	0
228	0
229	0
230	0
231	0
232	0
233	0
234	0
235	0
236	0
237	0
238	2,6
239	7,9
240	13,6
241	18,4
242	21,3
243	22,6
244	23,5
245	23,7
246	21,7
247	18,6
248	17,1
249	16,7
250	16,4
251	15,7
252	15
253	14,2
254	13,5
255	13
256	12,4
257	11,9
258	11,6
259	11,7
260	12,4
261	15,3
262	20,1
263	26,2
264	31
265	34,3
266	37,1
267	39,1
268	39,7
269	39,2
270	39
271	39,6
272	40,4
273	41,6
274	43,1
275	44,2
276	44,9
277	46,4
278	48,4
279	48,8
280	47,6
281	47
282	47,7
283	49
284	50,5
285	51,3
286	50,8
287	49,5
288	48
289	45,8
290	43,2
291	42,1
292	43
293	43,9
294	42,5
295	38,2
296	34,6
297	33
298	33,5
299	35
300	37,4
301	40,1
302	43,2
303	45,9
304	48,1
305	50,4
306	52,7
307	53,9
308	54,4
309	55
310	55,3
311	55,2
312	54,9
313	55,2
314	55,6
315	55,3
316	54
317	52,5
318	51,5
319	50,3
320	48,7
321	46,2
322	42,5
323	38,6
324	35,1
325	32,2
326	29,7
327	27,6
328	25,5
329	23,2
330	20,5
331	17,9
332	15,4
333	12,8
334	9,9
335	6,9
336	4,2
337	2,5
338	0
339	0
340	0
341	0
342	0
343	0
344	0
345	0
346	0
347	0
348	0
349	0
350	0
351	0
352	0
353	0
354	0
355	0
356	0
357	0
358	0
359	0
360	0
361	0
362	0
363	0
364	0
365	0
366	0
367	0
368	0
369	0
370	0
371	0
372	0
373	0
374	1,8
375	6,9
376	12,5
377	17,2
378	21,4
379	25,3
380	28,3
381	31,2
382	34,2
383	35,7
384	35,9
385	36,8
386	37,9
387	37,3
